Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
80	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	3148.021539	3146.078190	166755	2	2	3	0.864293	0.864293	1	1.53042	1.53042	0.955848	2	1574.546753	1575.548828	0.471656	0.471656	0.931844
81	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	3442.590700	3440.593249	166503	2	3	3	0.891002	0.578121	1	0.438952	0.336567	1.86635	2	1721.772705	1721.772705	0.428114	0.428114	0
82	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	4114.181264	4111.595761	207113	4	4	4	0.855542	0.855542	1	0.748982	0.748982	1.92638	4	1029.158569	1030.155884	0.367001	0.367001	0.935715
83	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	1	65.086594	61	4417.820882	4415.195863	100131	4	4	3	0.873906	0.873906	1	0.41116	0.41116	1.73036	4	1105.039917	1105.517944	0.459344	0.459344	0
84	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	105	2	65.086594	61	4476.944613	4474.144090	673765	4	4	5	0.882967	0.882967	1	0.429055	0.429055	1.19807	4	1119.543701	1121.544922	0.531890	0.531890	0
85	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	2	65.086594	61	4574.503918	4571.652808	4.31278e+06	3	4	16	0.978604	0.97841	1	0.45785	0.261971	1.24994	3	1524.897095	1527.233765	0.895253	0.895253	0
86	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	4684.555973	4681.622289	424791	3	3	6	0.90289	0.90289	1	2.06953	2.06953	1.04138	3	1561.881348	1563.885132	0.672500	0.672500	0.836862
87	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	4719.230665	4716.268686	241863	4	4	4	0.936279	0.936279	1	0.425843	1.15131	1.34409	4	1180.327393	1181.074951	0.766980	0.766980	0.833991
88	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	29	0	65.086594	61	8953.815228	8948.277131	552939	7	7	7	0.866745	0.866745	1	20.8257	20.8257	0.817447	7	1279.333374	1280.478760	0.591109	0.999821	0
89	../workspaces-FLASHApp/default/flashdeconv/input-files/mzML-files/example_fd.mzML	3102	nan	0	65.086594	61	9052.874884	9047.283224	880120	7	8	15	0.874795	0.846615	1	11.1003	10.6016	1.86082	7	1293.475098	1294.761353	0.548982	0.548982	0.894374
